time,Obj1,Obj2,Obj3,
2024-05-08 15:29:31:570,AheadCar_0_0 x=332978.125 y=425723.75 z=137.682999,SidewaysCar_0_0 x=335041.34375 y=429120.0 z=109.450996,
2024-05-08 15:29:31:595,AheadCar_0_0 x=332951.59375 y=425692.6875 z=137.677994,SidewaysCar_0_0 x=335021.71875 y=429094.0625 z=109.859001,
2024-05-08 15:29:31:620,AheadCar_0_0 x=332925.90625 y=425662.5625 z=137.716995,SidewaysCar_0_0 x=335002.5 y=429068.59375 z=110.258003,
2024-05-08 15:29:31:645,AheadCar_0_0 x=332901.375 y=425633.78125 z=137.764008,SidewaysCar_0_0 x=334984.3125 y=429044.53125 z=110.635002,
2024-05-08 15:29:31:670,AheadCar_0_0 x=332875.5625 y=425603.53125 z=137.834,SidewaysCar_0_0 x=334965.15625 y=429019.1875 z=110.870003,
2024-05-08 15:29:31:695,AheadCar_0_0 x=332848.875 y=425572.25 z=137.906006,SidewaysCar_0_0 x=334945.34375 y=428993.0 z=111.044998,
2024-05-08 15:29:31:720,AheadCar_0_0 x=332825.5625 y=425544.9375 z=137.992004,SidewaysCar_0_0 x=334928.0 y=428970.0625 z=111.198997,
2024-05-08 15:29:31:745,AheadCar_0_0 x=332799.0 y=425513.84375 z=138.110992,SidewaysCar_0_0 x=334908.28125 y=428943.9375 z=111.374001,
2024-05-08 15:29:31:770,AheadCar_0_0 x=332773.0625 y=425483.4375 z=138.227997,SidewaysCar_0_0 x=334889.0 y=428918.4375 z=111.544998,
2024-05-08 15:29:31:795,AheadCar_0_0 x=332747.96875 y=425454.0625 z=138.339996,SidewaysCar_0_0 x=334870.40625 y=428893.78125 z=111.709999,
2024-05-08 15:29:31:820,AheadCar_0_0 x=332722.65625 y=425424.375 z=138.453995,SidewaysCar_0_0 x=334851.59375 y=428868.90625 z=111.876999,
2024-05-08 15:29:31:845,AheadCar_0_0 x=332696.5625 y=425393.84375 z=138.570999,SidewaysCar_0_0 x=334832.21875 y=428843.28125 z=112.049004,
