time,Obj1,Obj2,Obj3,
2024-05-08 15:29:16:009,
2024-05-08 15:29:16:033,
2024-05-08 15:29:16:058,
2024-05-08 15:29:16:083,
2024-05-08 15:29:16:111,
2024-05-08 15:29:16:798,id=386496144C781D77536130A25FC15593_0 x=331853.915575 y=423458.177238 z=232.722589,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331740.748572 y=423305.449763 z=229.871425,
2024-05-08 15:29:16:825,id=386496144C781D77536130A25FC15593_0 x=331853.376459 y=423458.563918 z=232.739374,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331740.238544 y=423305.873827 z=229.889459,
2024-05-08 15:29:16:848,id=386496144C781D77536130A25FC15593_0 x=331852.872935 y=423458.92507 z=232.755049,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331739.762189 y=423306.269894 z=229.906311,
2024-05-08 15:29:16:875,id=386496144C781D77536130A25FC15593_0 x=331852.347654 y=423459.301826 z=232.771404,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331739.26525 y=423306.683075 z=229.923881,
2024-05-08 15:29:16:899,id=386496144C781D77536130A25FC15593_0 x=331851.844779 y=423459.662512 z=232.78706,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331738.789507 y=423307.078633 z=229.940715,
2024-05-08 15:29:16:925,id=386496144C781D77536130A25FC15593_0 x=331851.328222 y=423460.033012 z=232.803146,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331738.300821 y=423307.484953 z=229.957998,
2024-05-08 15:29:16:953,id=386496144C781D77536130A25FC15593_0 x=331850.77673 y=423460.428568 z=232.820315,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331737.779087 y=423307.91875 z=229.976455,
2024-05-08 15:29:16:979,id=386496144C781D77536130A25FC15593_0 x=331850.236109 y=423460.816327 z=232.837151,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331737.267636 y=423308.343997 z=229.994542,
2024-05-08 15:29:17:004,id=386496144C781D77536130A25FC15593_0 x=331849.72095 y=423461.185823 z=232.853191,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331736.780272 y=423308.749217 z=230.011774,
2024-05-08 15:29:17:031,id=386496144C781D77536130A25FC15593_0 x=331849.177669 y=423461.575491 z=232.8701,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331736.266306 y=423309.176556 z=230.029958,
2024-05-08 15:29:17:059,id=386496144C781D77536130A25FC15593_0 x=331848.622716 y=423461.97353 z=232.887386,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331735.741293 y=423309.61308 z=230.048523,
2024-05-08 15:29:17:084,id=386496144C781D77536130A25FC15593_0 x=331848.099382 y=423462.34889 z=232.903676,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331735.246198 y=423310.024727 z=230.066039,
2024-05-08 15:29:17:109,id=386496144C781D77536130A25FC15593_0 x=331847.598575 y=423462.708093 z=232.919272,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331734.772411 y=423310.418659 z=230.082793,
2024-05-08 15:29:17:135,id=386496144C781D77536130A25FC15593_0 x=331847.055583 y=423463.097553 z=232.936177,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331734.258715 y=423310.845773 z=230.100969,
2024-05-08 15:29:17:158,id=386496144C781D77536130A25FC15593_0 x=331846.59001 y=423463.431484 z=232.950679,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331733.818266 y=423311.211986 z=230.116539,
2024-05-08 15:29:17:185,id=386496144C781D77536130A25FC15593_0 x=331846.03738 y=423463.827856 z=232.967884,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331733.295454 y=423311.646679 z=230.135028,
2024-05-08 15:29:17:216,id=386496144C781D77536130A25FC15593_0 x=331845.424214 y=423464.267648 z=232.986978,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331732.715372 y=423312.12899 z=230.155551,
2024-05-08 15:29:17:240,id=386496144C781D77536130A25FC15593_0 x=331844.926801 y=423464.624416 z=233.002458,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331732.244797 y=423312.520251 z=230.172187,
2024-05-08 15:29:17:267,id=386496144C781D77536130A25FC15593_0 x=331844.373909 y=423465.020977 z=233.019678,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331731.721736 y=423312.955152 z=230.190695,
2024-05-08 15:29:17:293,id=386496144C781D77536130A25FC15593_0 x=331843.860583 y=423465.389159 z=233.035659,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331731.236107 y=423313.358929 z=230.207865,
2024-05-08 15:29:17:316,id=386496144C781D77536130A25FC15593_0 x=331843.378101 y=423465.735218 z=233.050679,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331730.779659 y=423313.738445 z=230.224007,
2024-05-08 15:29:17:344,id=386496144C781D77536130A25FC15593_0 x=331842.834123 y=423466.125385 z=233.06762,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331730.265034 y=423314.16633 z=230.24221,
2024-05-08 15:29:17:369,id=386496144C781D77536130A25FC15593_0 x=331842.2984 y=423466.509631 z=233.0843,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331729.758213 y=423314.587729 z=230.260139,
2024-05-08 15:29:17:397,id=386496144C781D77536130A25FC15593_0 x=331841.74253 y=423466.908328 z=233.10161,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331729.232337 y=423315.02497 z=230.278741,
